OverallRating,ReviewHeader,ReviewBody,SeatType,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Food&Beverages,InflightEntertainment,processed,zs_preds,bt_preds,hybrid_labels,topic_keywords,related_terms
3,disgraceful full fare paying passenger treated like,The short haul flight best crew final leg giving excellent service hope We chose flight carefully booked flight Club World Suits not Ying Yang arrangement still offer At last minute aircraft changed put ying yang really pensioned age ago Most business class offer 4 across layout still squeeze 8 across As take one long haul leisure trip year Business Class always lose Points game I take exception paid full non refundable basis not allowed reserve seat The point gained trip alone would allowed u Bronze status not given status trip useless u This status would allowed u book seat 7 day prior departure still available rather 24 hour not available On long haul return flight I unable book window seat boarding door closed window seat still vacant I asked I could move told FA would check Nothing happened takeoff passenger moved economy seat Judging interaction I would bet someone Staff Travel I think disgraceful full fare paying passenger treated like Takeoff 1930 hr not offered drink service supper told could order drink would delivered tray meal Had done meal would cold time ate In summary would I ever fly BA No not I half chance going another airline,Business Class,3,2,2,2,0,2,1,short haul best crew final leg giving excellent service hope chose carefully booked club world suits ying yang arrangement still offer last minute aircraft changed put ying yang really pensioned age ago business class offer across layout still squeeze across take one long haul leisure trip year business class always lose points game take exception paid full non refundable basis allowed reserve seat point gained trip alone would allowed u bronze status given status trip useless u status would allowed u book seat day prior departure still available rather available long haul return unable book window seat boarding door closed window seat still vacant asked could move told fa would check nothing happened takeoff passenger moved economy seat judging interaction would bet someone staff travel think disgraceful full fare paying passenger treated like takeoff hr offered drink service supper told could order drink would delivered tray meal done meal would cold time ate summary would ever fly half chance going another,"['Airline Staff & Ground Services', 'Booking & Check-in Issues', 'Seating Comfort']",['Seating Comfort'],"['Booking & Check-in Issues', 'Airline Staff & Ground Services', 'Seating Comfort']","['risk', 'cabin', 'crew', 'entertainment', 'delay', 'meal', 'comfort', 'wifi', 'seat', 'drink', 'snack', 'singapore', 'food', 'legroom', 'expensive', 'bag']","risk, cabin, crew, entertainment, delay, meal, comfort, wifi, seat, drink, snack, singapore, food, legroom, expensive, bag"
1,terrible airline Ive dealt,British Airways terrible airline Ive dealt They caused family extreme stress disappointment tried week speak someone cant make change online They hang every time call driven despair treatment customer You cant check online application suck much youre better trying code app itll probably work better every time try check taken page say cant verify document yet app website say youre verified ready go You upgrade pay upgrade say guaranteed go check go airport online wont work give different seat paid lower class offer nothing return I hope I never misfortune getting stuck flying British Airways ever,Economy Class,1,1,1,1,0,1,3,terrible ive dealt caused family extreme stress disappointment tried week speak someone cant make change online hang every time call driven despair treatment customer cant check online application suck much youre better trying code app itll probably work better every time try check taken page say cant verify document yet app website say youre verified ready go upgrade pay upgrade say guaranteed go check go airport online wont work give different seat paid lower class offer nothing return hope never misfortune getting stuck flying ever,"['Booking & Check-in Issues', 'In-Flight Experience Issues']","['Booking & Check-in Issues', 'Food and Beverage', 'Seating Comfort', 'Refund & Compensation Disputes']","['Refund & Compensation Disputes', 'Food and Beverage', 'Booking & Check-in Issues', 'Seating Comfort', 'In-Flight Experience Issues']","['refund', 'cabin', 'ground', 'chip', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'comfort', 'number', 'cancel', 'luggage', 'wifi', 'singapore', 'food', 'gatwick', 'expensive', 'bag', 'email', 'risk', 'compensation', 'wheelchair', 'rebook', 'safety', 'athens', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, chip, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, comfort, number, cancel, luggage, wifi, singapore, food, gatwick, expensive, bag, email, risk, compensation, wheelchair, rebook, safety, athens, reservation, ticket, security, legroom"
2,caused family extreme stress disappointment,British Airways terrible airline Ive ever dealt They caused family extreme stress disappointment tried week speak someone cant make change online They hang every time call driven despair treatment customer I no choice cancel chance life time trip wed booked 2 18 year old boy flying another airline would alone Japan BA cancelled trip not rebook online trip booked avios companion voucher,Business Class,3,3,3,1,0,3,3,terrible ive ever dealt caused family extreme stress disappointment tried week speak someone cant make change online hang every time call driven despair treatment customer choice cancel chance life time trip wed booked year old boy flying another would alone japan cancelled trip rebook online trip booked avios companion voucher,"['In-Flight Experience Issues', 'Booking & Check-in Issues', 'Flight Delays & Cancellations']","['Booking & Check-in Issues', 'Food and Beverage', 'Seating Comfort', 'Refund & Compensation Disputes']","['Refund & Compensation Disputes', 'Food and Beverage', 'Booking & Check-in Issues', 'Seating Comfort', 'Flight Delays & Cancellations', 'In-Flight Experience Issues']","['refund', 'cabin', 'ground', 'chip', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'comfort', 'number', 'cancel', 'luggage', 'wifi', 'singapore', 'food', 'gatwick', 'expensive', 'bag', 'email', 'risk', 'compensation', 'wheelchair', 'rebook', 'safety', 'athens', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, chip, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, comfort, number, cancel, luggage, wifi, singapore, food, gatwick, expensive, bag, email, risk, compensation, wheelchair, rebook, safety, athens, reservation, ticket, security, legroom"
1,still no refund 3 month,BA continue charge premium disgusting service provided people shouldnt customer service tired dirty cramped aircraft Out 11 flight year not one managed depart arrive destination ontime Including 3 business class ticket cancelled alternative economy offered still no refund 3 month flight late missed connection BA cancelled rest ticket leaving stranded US,Business Class,1,1,1,1,0,1,3,continue charge premium disgusting service provided people shouldnt customer service tired dirty cramped aircraft year one managed depart arrive destination ontime including business class ticket cancelled alternative economy offered still refund month late missed connection cancelled rest ticket leaving stranded us,"['Flight Delays & Cancellations', 'Airline Staff & Ground Services', 'Loyalty Program and benefits']","['Booking & Check-in Issues', 'Seating Comfort', 'Food and Beverage']","['Seating Comfort', 'Airline Staff & Ground Services', 'Food and Beverage', 'Booking & Check-in Issues', 'Loyalty Program and benefits', 'Flight Delays & Cancellations']","['refund', 'cabin', 'ground', 'chip', 'crew', 'entertainment', 'meal', 'seat', 'emergency', 'booking', 'voucher', 'delay', 'drink', 'snack', 'comfort', 'cancel', 'luggage', 'wifi', 'singapore', 'food', 'gatwick', 'expensive', 'bag', 'risk', 'wheelchair', 'safety', 'athens', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, chip, crew, entertainment, meal, seat, emergency, booking, voucher, delay, drink, snack, comfort, cancel, luggage, wifi, singapore, food, gatwick, expensive, bag, risk, wheelchair, safety, athens, reservation, ticket, security, legroom"
1,Spent hour checking,The worst budget airline Ive ever used Far worse Ryanair I refuse fly even though theyre basically free BA charge 10x much budget worst service Spent hour checking outdated computer crashed They left u sat plane 2 hour couldnt connect internet left 50 luggage behind would refund everyones flight waited another 10 min luggage trolley arrive It took three day return cost u 100 Then return Ive sat nearly two hour there no sign luggage I dont know company incompetent Ill pursuing compensation I free flight Amex I wont using not worth going,Economy Class,1,1,1,1,0,3,3,worst budget ive ever used far worse ryanair refuse fly even though theyre basically free charge 10x much budget worst service spent checking outdated computer crashed left u sat plane couldnt connect internet left luggage behind would refund everyones waited another min luggage trolley arrive took three day return cost u return ive sat nearly two sign luggage dont know company incompetent ill pursuing compensation free amex wont using worth going,"['In-Flight Experience Issues', 'Airline Staff & Ground Services', 'Baggage Problems']","['Seating Comfort', 'Baggage Problems', 'Refund & Compensation Disputes']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Baggage Problems', 'Seating Comfort', 'In-Flight Experience Issues']","['refund', 'cabin', 'ground', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'dublin', 'comfort', 'number', 'loyalty', 'cancel', 'luggage', 'sister', 'name', 'wifi', 'baggage', 'lost', 'singapore', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'compensation', 'rebook', 'missing', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, dublin, comfort, number, loyalty, cancel, luggage, sister, name, wifi, baggage, lost, singapore, food, clothes, assist, expensive, bag, email, risk, compensation, rebook, missing, reservation, ticket, security, legroom"
5,Onboard 1010 getting onboard 110,First actual flight fine staff 3 flight ZRHLHR GVALHR LHRZRH first 2 Economy absolutely fine chatty friendly credit company The infrastructure however appalling ZRHLHR impossible checkin online 2 staff checkin everyone 2 flight resulting mislabelled luggage hour delay sort GVALHR 25hrs late noone LHR tow aircraft gate LHRZRH 50mins late due slow gate staff Even checkin online queue airport get actual boarding pas There example reason sort stressed ground staff impossible recommend airline Onboard 1010 getting onboard 110,Business Class,4,5,1,4,0,4,3,first actual fine staff zrhlhr gvalhr lhrzrh first economy absolutely fine chatty friendly credit company infrastructure however appalling zrhlhr impossible checkin online staff checkin everyone resulting mislabelled luggage delay sort gvalhr 25hrs late noone lhr tow aircraft gate lhrzrh 50mins late due slow gate staff even checkin online queue airport get actual boarding pas example reason sort stressed ground staff impossible recommend onboard getting onboard,"['Booking & Check-in Issues', 'Airline Staff & Ground Services', 'Baggage Problems']","['Refund & Compensation Disputes', 'Seating Comfort', 'Food and Beverage']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Baggage Problems', 'Food and Beverage', 'Booking & Check-in Issues', 'Seating Comfort']","['refund', 'cabin', 'ground', 'chip', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'comfort', 'number', 'cancel', 'luggage', 'wifi', 'singapore', 'food', 'gatwick', 'expensive', 'bag', 'email', 'risk', 'compensation', 'wheelchair', 'rebook', 'safety', 'athens', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, chip, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, comfort, number, cancel, luggage, wifi, singapore, food, gatwick, expensive, bag, email, risk, compensation, wheelchair, rebook, safety, athens, reservation, ticket, security, legroom"
2,Food service appalling,Have not flown economy BA year shock Hard uncomfortable seat small aged tv screen limited inflight entertainment Food service appalling 13hr plus flight no sock eye shade ear plug amenity pack And no antibacterial wipe offered WiFi advertised not available flight Paid premium money budget airline akin Easy Jet RyanAir JetStar My last time travelling BA 18 year flying BA really need buck service become flagship Service used,Economy Class,1,1,1,1,0,1,1,flown economy year shock hard uncomfortable seat small aged tv screen limited inflight entertainment food service appalling 13hr plus sock eye shade ear plug amenity pack antibacterial wipe offered wifi advertised available paid premium money budget akin easy jet ryanair jetstar last time travelling year flying really need buck service become flagship service used,"['Airline Staff & Ground Services', 'In-Flight Experience Issues', 'Seating Comfort']","['Baggage Problems', 'Seating Comfort', 'Food and Beverage']","['Airline Staff & Ground Services', 'Baggage Problems', 'Food and Beverage', 'Seating Comfort', 'In-Flight Experience Issues']","['refund', 'cabin', 'ground', 'chip', 'crew', 'entertainment', 'meal', 'seat', 'emergency', 'booking', 'delay', 'drink', 'snack', 'dublin', 'comfort', 'loyalty', 'cancel', 'luggage', 'sister', 'name', 'wifi', 'baggage', 'lost', 'singapore', 'food', 'gatwick', 'clothes', 'assist', 'expensive', 'bag', 'risk', 'compensation', 'wheelchair', 'missing', 'safety', 'athens', 'ticket', 'security', 'legroom']","refund, cabin, ground, chip, crew, entertainment, meal, seat, emergency, booking, delay, drink, snack, dublin, comfort, loyalty, cancel, luggage, sister, name, wifi, baggage, lost, singapore, food, gatwick, clothes, assist, expensive, bag, risk, compensation, wheelchair, missing, safety, athens, ticket, security, legroom"
4,need better,Very poor flight Cape Town London After chaos Cape Town Airport passenger handling incredibly long queue get security passport control taking nearly two hour total arrived lounge somewhat frazzled happy find quiet area decent wine appropriate food choice break boarding flight Boarding went well seated offered small half full glass champagne The captain made announcement say aboard ahead schedule flight time would shorter scheduled unfortunately would mean arrival would early land due 600 lifting overnight jet ban Heathrow would wait ground perhaps half hour This no big deal Then captain announced due IT issue Heathrow could get not compile necessary paperwork would delayed indefinite period With delay uncertain duration one might hoped offering champagne beverage particularly Business Class not forthcoming In event take permitted quite soon The crew distributed menu PA say change main course A drink order taken pre dinner drink main course dinner choice wine dinner Drinks nut served circa 45 minute take case small measure white wine bottom pleasant decent sized tumbler husband another half glass champagne Dinner arrived single tray small measure red wine tumbler The food looked bland unappetising tasted The cheese two small piece sitting greasy pool vinegary chutney No top wine offered ask second glass provided individualised basis coffee not served since hit mild turbulence The flight 11 hour duration no snack beverage offered prior breakfast provided separately passenger showed sign awake Breakfast slightly edible dinner Coffee tea offered individual mug orange juice available request Cabin crew largely absent cabin except meal service must said extremely pleasant suitably responsive request individual item Come British Airways need better meet customer expectation compete airline similar route For cost business class ticket passenger enjoying additional space seat comfort flatbed benefit economy ticket 25 price paid premium cabin Time flying Business Class real treat no longer case,Business Class,3,3,3,1,0,1,3,poor cape town london chaos cape town airport passenger handling incredibly long queue get security passport control taking nearly two total arrived lounge somewhat frazzled happy find quiet area decent wine appropriate food choice break boarding boarding went well seated offered small half full glass champagne captain made announcement say aboard ahead schedule time would shorter scheduled unfortunately would mean arrival would early land due lifting overnight jet ban heathrow would wait ground perhaps half big deal captain announced due issue heathrow could get compile necessary paperwork would delayed indefinite period delay uncertain duration one might hoped offering champagne beverage particularly business class forthcoming event take permitted quite soon crew distributed menu pa say change main course drink order taken pre dinner drink main course dinner choice wine dinner drinks nut served circa minute take case small measure white wine bottom pleasant decent sized tumbler husband another half glass champagne dinner arrived single tray small measure red wine tumbler food looked bland unappetising tasted cheese two small piece sitting greasy pool vinegary chutney top wine offered ask second glass provided individualised basis coffee served since hit mild turbulence duration snack beverage offered prior breakfast provided separately passenger showed sign awake breakfast slightly edible dinner coffee tea offered individual mug orange juice available request cabin crew largely absent cabin except meal service must said extremely pleasant suitably responsive request individual item come need better meet customer expectation compete similar route cost business class ticket passenger enjoying additional space seat comfort flatbed benefit economy ticket price paid premium cabin time flying business class real treat longer case,['Food and Beverage'],"['Seating Comfort', 'Refund & Compensation Disputes']","['Refund & Compensation Disputes', 'Seating Comfort', 'Food and Beverage']","['refund', 'cabin', 'ground', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'comfort', 'number', 'cancel', 'luggage', 'wifi', 'singapore', 'food', 'expensive', 'bag', 'email', 'risk', 'compensation', 'rebook', 'reservation', 'ticket', 'legroom']","refund, cabin, ground, crew, entertainment, meal, seat, cancelled, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, comfort, number, cancel, luggage, wifi, singapore, food, expensive, bag, email, risk, compensation, rebook, reservation, ticket, legroom"
2,limited food served bland,Our main complaint limited food served bland barely edible far worst weve ever experienced compared airline used past The staff friendly enough rarely seen meal No snack offered flight This different every airline used past After 14 hour flying breakfast offered tiny cold stale Ham cheese roll small plain yoghurt couple Oreos If ever decide fly I suggest bring food We certainly return flight never use British Airways,Economy Class,3,1,2,4,0,1,1,main complaint limited food served bland barely edible far worst weve ever experienced compared used past staff friendly enough rarely seen meal snack offered different every used past flying breakfast offered tiny cold stale ham cheese roll small plain yoghurt couple oreos ever decide fly suggest bring food certainly return never use,['Food and Beverage'],"['Baggage Problems', 'Food and Beverage']","['Baggage Problems', 'Food and Beverage']","['refund', 'cabin', 'ground', 'chip', 'crew', 'entertainment', 'meal', 'seat', 'emergency', 'booking', 'delay', 'drink', 'snack', 'dublin', 'loyalty', 'cancel', 'luggage', 'sister', 'name', 'wifi', 'baggage', 'lost', 'food', 'clothes', 'gatwick', 'assist', 'expensive', 'bag', 'risk', 'compensation', 'wheelchair', 'missing', 'safety', 'athens', 'ticket', 'security', 'legroom']","refund, cabin, ground, chip, crew, entertainment, meal, seat, emergency, booking, delay, drink, snack, dublin, loyalty, cancel, luggage, sister, name, wifi, baggage, lost, food, clothes, gatwick, assist, expensive, bag, risk, compensation, wheelchair, missing, safety, athens, ticket, security, legroom"
1,Complete utter chaos,Complete utter chaos Heathrow yet Surely CEO Sean Doyle must take responsibility step aside consistent continuous IT problem cause flight cancelled delayed The queue First Wing check 10am today 1 hour subsequent flight Malaga 15 hr late leaving gate Updated delay 3 time strangely not one person apologised said sorry BA seems think normal practice nowadays As Emerald OneWorld I wish alternative BA become intolerable flying 55 year since BEABOAC day,Business Class,2,1,1,1,0,2,1,complete utter chaos heathrow yet surely ceo sean doyle must take responsibility step aside consistent continuous problem cause cancelled delayed queue first wing check 10am today subsequent malaga hr late leaving gate updated delay time strangely one person apologised said sorry seems think normal practice nowadays emerald oneworld wish alternative become intolerable flying year since beaboac day,"['Flight Delays & Cancellations', 'Booking & Check-in Issues', 'In-Flight Experience Issues']","['Flight Delays & Cancellations', 'Refund & Compensation Disputes', 'Baggage Problems']","['Refund & Compensation Disputes', 'Baggage Problems', 'Booking & Check-in Issues', 'Flight Delays & Cancellations', 'In-Flight Experience Issues']","['connecting', 'refund', 'ground', 'cabin', 'entertainment', 'change', 'crew', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'standby', 'delay', 'call', 'dublin', 'number', 'loyalty', 'cancel', 'luggage', 'delayed', 'sister', 'name', 'baggage', 'lost', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'pm', 'compensation', 'rebook', 'missing', 'ticket', 'reservation', 'security']","connecting, refund, ground, cabin, entertainment, change, crew, cancelled, emergency, reschedule, amsterdam, booking, voucher, standby, delay, call, dublin, number, loyalty, cancel, luggage, delayed, sister, name, baggage, lost, food, clothes, assist, expensive, bag, email, risk, pm, compensation, rebook, missing, ticket, reservation, security"
1,There no customer support,Feb 25 2022 We show airport 3 hour early flight Dublin waited line 3 hour check luggage After learn flight delayed another 3 hour We connecting flight London When trying go custom wouldnt let u boarding plane going happening 30 minute They told u wait customer service line well hour We found could gone custom connecting flight London Dublin delayed hour However time told information door close The next available flight Dublin 227 late evening With said forced stay night London After talking British Airways manager informed u BA would reimburse u hotel flight get Dublin regardless airline clothes due losing bag excursion transportation Due issue spend multiple day shopping clothes lost day booked explore country buy extra suitcase new clothes received went 4 day lost bag When finally got home submitted claim like told Within day declined We asked contact talk somebody declined We tried reach via social medium get passiveaggressive message They refuse pay back new flight get Dublin transportation airport London hotel London clothes I buy lost bag 4 day extra luggage fee extra clothes I buy There no customer support impossible get direct response,Economy Class,2,1,1,1,0,2,3,feb show airport early dublin waited line check luggage learn delayed another connecting london trying go custom wouldnt let u boarding plane going happening minute told u wait customer service line well found could gone custom connecting london dublin delayed however time told information door close next available dublin late evening said forced stay night london talking manager informed u would reimburse u hotel get dublin regardless clothes due losing bag excursion transportation due issue spend multiple day shopping clothes lost day booked explore country buy extra suitcase new clothes received went day lost bag finally got home submitted claim like told within day declined asked contact talk somebody declined tried reach via social medium get passiveaggressive message refuse pay back new get dublin transportation airport london hotel london clothes buy lost bag day extra luggage fee extra clothes buy customer support impossible get direct response,"['Baggage Problems', 'Booking & Check-in Issues', 'Flight Delays & Cancellations']","['Flight Delays & Cancellations', 'Baggage Problems', 'Refund & Compensation Disputes']","['Refund & Compensation Disputes', 'Baggage Problems', 'Booking & Check-in Issues', 'Flight Delays & Cancellations']","['connecting', 'refund', 'ground', 'cabin', 'entertainment', 'change', 'crew', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'standby', 'delay', 'call', 'dublin', 'number', 'loyalty', 'cancel', 'luggage', 'delayed', 'sister', 'name', 'baggage', 'lost', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'pm', 'compensation', 'rebook', 'missing', 'ticket', 'reservation', 'security']","connecting, refund, ground, cabin, entertainment, change, crew, cancelled, emergency, reschedule, amsterdam, booking, voucher, standby, delay, call, dublin, number, loyalty, cancel, luggage, delayed, sister, name, baggage, lost, food, clothes, assist, expensive, bag, email, risk, pm, compensation, rebook, missing, ticket, reservation, security"
3,packedlikesardines Club World product,British Airways process upgrading 777 fleet new Club Suite BA59 16yrsold packedlikesardines Club World product The lounge CPT also bursting seam food order behind many passenger left time food arrived On boarding surprised find menu amenity kit bottle water already placed storage drawer We suspect another cynical timesaving initiative part BA Frustratingly menu turned incorrect replacement dish probably worst ever encountered business class airline The drink run cancelled without warning spurious basis passenger nut allergy Its hard avoid suspicion cabin crew economical truth Apart rather turbulent ride flight otherwise uneventful arrival slightly ahead schedule Baggage handling however atrociously slow,Business Class,2,1,3,2,0,1,2,process upgrading fleet new club suite ba59 16yrsold packedlikesardines club world product lounge cpt also bursting seam food order behind many passenger left time food arrived boarding surprised find menu amenity kit bottle water already placed storage drawer suspect another cynical timesaving initiative part frustratingly menu turned incorrect replacement dish probably worst ever encountered business class drink run cancelled without warning spurious basis passenger nut allergy hard avoid suspicion cabin crew economical truth apart rather turbulent ride otherwise uneventful arrival slightly ahead schedule baggage handling however atrociously slow,"['Baggage Problems', 'Airline Staff & Ground Services', 'Booking & Check-in Issues']","['Seating Comfort', 'Refund & Compensation Disputes', 'Baggage Problems']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Baggage Problems', 'Booking & Check-in Issues', 'Seating Comfort']","['refund', 'cabin', 'ground', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'dublin', 'comfort', 'number', 'loyalty', 'cancel', 'luggage', 'sister', 'name', 'wifi', 'baggage', 'lost', 'singapore', 'food', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'compensation', 'rebook', 'missing', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, dublin, comfort, number, loyalty, cancel, luggage, sister, name, wifi, baggage, lost, singapore, food, clothes, assist, expensive, bag, email, risk, compensation, rebook, missing, reservation, ticket, security, legroom"
4,I couldnt check online,We flew Funchal Madeira yesterday Madeira no COVID restriction entry yet BA asked u upload NHS vaccination pass could check online I received OK hour later husband not I couldnt check online We arrive Heathrow 2 hour departure stood long queue check There 3 desk open queue approx 100 traveller Then several people went break disappeared one desk open queue barely moving I went complain various BA staff said manager told people coming One blonde lady walked around age shepherding traveller queue sitting desk Another man later likewise making u wonder hadnt simply worked desk beginning All stood queue good hour almost running security queue thankfully moved quickly Then hurriedly bought sandwich walked departure gate stood bus plane The whole experience extremely stressful took best part 2 hour We not time sit plane And completely unnecessary If able check online would not happened My husband vaccination pas fine not required Madeira I think system failure received email yesterday morning saying pas not order I even though Id previously told I could check online Also unnecessary BA staffed desk properly queue would moved A staff member told u BA laid lot staff lock begging return treated badly didnt want The flight fine time We given bag crisp bottle water fine nothing praise worthy,Economy Class,3,3,1,3,0,1,3,flew funchal madeira yesterday madeira covid restriction entry yet asked u upload nhs vaccination pass could check online received ok later husband couldnt check online arrive heathrow departure stood long queue check desk open queue approx traveller several people went break disappeared one desk open queue barely moving went complain various staff said manager told people coming one blonde lady walked around age shepherding traveller queue sitting desk another man later likewise making u wonder hadnt simply worked desk beginning stood queue good almost running security queue thankfully moved quickly hurriedly bought sandwich walked departure gate stood bus plane whole experience extremely stressful took best part time sit plane completely unnecessary able check online would happened husband vaccination pas fine required madeira think system failure received email yesterday morning saying pas order even though id previously told could check online also unnecessary staffed desk properly queue would moved staff member told u laid lot staff lock begging return treated badly didnt want fine time given bag crisp bottle water fine nothing praise worthy,"['Booking & Check-in Issues', 'Baggage Problems', 'Airline Staff & Ground Services']","['Booking & Check-in Issues', 'Food and Beverage', 'Refund & Compensation Disputes', 'Seating Comfort']","['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Baggage Problems', 'Food and Beverage', 'Booking & Check-in Issues', 'Seating Comfort']","['refund', 'cabin', 'ground', 'chip', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'comfort', 'number', 'cancel', 'luggage', 'wifi', 'singapore', 'food', 'gatwick', 'expensive', 'bag', 'email', 'risk', 'compensation', 'wheelchair', 'rebook', 'safety', 'athens', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, chip, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, comfort, number, cancel, luggage, wifi, singapore, food, gatwick, expensive, bag, email, risk, compensation, wheelchair, rebook, safety, athens, reservation, ticket, security, legroom"
1,flight Antalya May 2022 cancelled,Absolutely bad experience British Airways I two booking past two year cancelled The first one I understand Covid19 unexpected But today I got another surprise My flight Antalya May 2022 cancelled no explanation given I definitely not book ever,Economy Class,3,3,3,1,0,3,3,absolutely bad experience two booking past two year cancelled first one understand covid19 unexpected today got another surprise antalya may cancelled explanation given definitely book ever,"['Booking & Check-in Issues', 'Flight Delays & Cancellations']","['Seating Comfort', 'Food and Beverage', 'Refund & Compensation Disputes', 'Baggage Problems', 'Booking & Check-in Issues']","['Refund & Compensation Disputes', 'Baggage Problems', 'Food and Beverage', 'Booking & Check-in Issues', 'Seating Comfort', 'Flight Delays & Cancellations']","['refund', 'cabin', 'ground', 'chip', 'crew', 'entertainment', 'meal', 'seat', 'cancelled', 'emergency', 'reschedule', 'amsterdam', 'booking', 'voucher', 'delay', 'call', 'drink', 'snack', 'dublin', 'comfort', 'number', 'loyalty', 'cancel', 'luggage', 'sister', 'name', 'wifi', 'baggage', 'lost', 'singapore', 'food', 'gatwick', 'clothes', 'assist', 'expensive', 'bag', 'email', 'risk', 'compensation', 'wheelchair', 'rebook', 'missing', 'safety', 'athens', 'reservation', 'ticket', 'security', 'legroom']","refund, cabin, ground, chip, crew, entertainment, meal, seat, cancelled, emergency, reschedule, amsterdam, booking, voucher, delay, call, drink, snack, dublin, comfort, number, loyalty, cancel, luggage, sister, name, wifi, baggage, lost, singapore, food, gatwick, clothes, assist, expensive, bag, email, risk, compensation, wheelchair, rebook, missing, safety, athens, reservation, ticket, security, legroom"
