OverallRating,ReviewHeader,ReviewBody,SeatType,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Food&Beverages,InflightEntertainment
4,flight service usually weak,use average not say pretty satisfied somehow experience cancellation delay time second flight service usually weak food portion small cabin crew not helpful especially come drink request screen a380s renew full scratch size a321s especially longer flight entertainment system become important also no welcome package except pillow small blanket would expect fly u anywhere except would recommend consider airline fly directly could one choice,Economy Class,3,2,2,3,0,2,3
1,customer service disgrace,flew istanbul london business class half flight child watch pad loud no phone plug three row front disrupt flight could hear headphones staff think fine refuse tell mon turn acceptable flight especially business class airline turn staff give no train customer service child allow disrupt passenger tell staff laugh customer service disgrace give not even mention food bad really bad,Business Class,2,1,2,1,0,1,1
1,little concern customer service,flow several time since airline start nonstop service austin london heathrow every year service get bad brought tape measure see far apart seats economy section 25 inch remove bathroom order squeeze row seat onto aircraft thankful not big person able squeeze seat without uncomfortable first start fly austin food great arrive heathrow get real food take plane dont know make food not table not direct flight hometown london would fly different airline check heathrow line extremely long one person check people take nearly hour get counter understand airline making record profit need make lose revenue anaemic think go far little concern customer service pursuit profit,Economy Class,1,1,1,1,0,1,5
1,give fullservice airline,flight depart hour late due late bound plane plane full half economy class passenger force check large cabin baggage gate board make complete monkey hand luggage allowance advertise lot passenger board stress miss onwards connection due delay miss next gate close time disembark heathrow board service ok minimal give fullservice airline time ago concern try get hold customer service make change book deal problem nonexistent airline seem make deliberately hard customer contact,Economy Class,1,2,1,2,0,1,3
1,hate always,hate always get london oct 3 next flight cancel stand line 1200 people get fix tell everyone leave airport call fix book u next davis online dont offer voucher hotel miss tour try get home istanbul plane start load hour ago no explanation may miss next flight never travel problem april 2022 flight,Economy Class,1,3,1,1,0,3,4
5,2 hour bag finally arrive,flight porto london heathrow operate finnair use finnair plane crew advise shortly book option change flight prefer although business class cabin similar layout club europe middle seat keep free wife felt seat comfortable bedroom slightly well service good board meal taste choose beef cheek good land heathrow although pass passport control without delay designate baggage reclaim wait waited hour ten minute go baggage counter ask go seem unaware issue say would find next hour various passenger also request information despite various announcement list different excuse almost 2 hour bag finally arrived frustration say least subsequently complain 4 week no explanation automatic message customer service experience exceptionally high volume response say lot,Business Class,4,5,1,4,0,4,3
3,leave nobody care,customer service call centre etc atrocious sometimes callous dont care long wait speak anybody no power actually solve anything call cut halfway without resolution anyway flight cancel original one really leave nobody care board service soto short haul semilow cost confuse never know expect time give bottle water small snack whilst anything else pay yet flight apparently recorder additional food confuse make not dependable cabin baggage theory generous compare competitor economy ask half passenger flight check cabin baggage gate due lack space overhead cabin lead long boarding delay whole offering think well u power supply not work throughout flight contrary announcement power available seatbelt sight turn painless provide socket first place not first choice airline route try use avoid point totally abandon fail see deem 4 star airline,Economy Class,2,4,1,4,0,1,3
5,club europe simply joke,frequent ulcer last 15 year note rating give frankly not understand score three star aspects service nutshell place profit margin passenger appreciation fact hammer home return leg not club europe quite alarm appear place profit passenger safety extend business class seat beyond emergency exit row fail ensure seat exit row physical capacity actually open door incise emergency not reassure see elderly slightly build woman seat responsibility open overlie exit need arise shorthaul business club europe simply joke useful gain valuable tier point loungepreboarding benefit cabin crew service excellent lack space reduction refreshment choice etc place million army behind compete airline later turkish embrace understand true definition customer appreciation hospitality consistently erode value executive club seem impression recent change obtain avoid point book process benefit passenger really want support enjoy fly point start penny pitching become deserving name budget always attach photo take recent itinerant highlight difference customer careappreciation always another airline use trip flight around 4 hour duration day guess one show flight offering,Business Class,3,4,3,2,0,1,1
4,second rate shod airline,flew punt take trouble reserve seat outbound bound flight board patrick realise move much less good seat people sit seat spend lot money reserve apparently change aircraft number passenger automatically reallocate seat no particular reason crew say nothing could although course could snap u couple use seat tell claim refund return home via complaint form offer u 100 voucher accept less cost seat also naturally want money back eventually get not without fight second rate shod airline,Economy Class,3,3,2,2,0,3,2
1,sort medieval torture,downgrade business premium economy take three month get back offer 200 pound 400 difference business class premium economy never fly 300 difference economy business 6500 owe least 1500 pound fair 3250 pound downgrade insult incredibly painful recent cancer operation back injury point need lie wait get around rub insult offer slap face continue degradation people deal airport earth honest hard work people actual staff plane warm friendly helpful system operate sort medieval torture,Business Class,1,5,5,1,0,3,3
1,never,already delay aircraft land apart small log rear tutelage no indication carrier really board turn farce passenger group tell wait one queue order board inform wrong place board want allow yet interior cabin reminiscence cabin twenty year earlier except tight bedroom uncomfortable seating make budget airline feel luxurious crew not unknown charter company service slow usual choice food purchase run reach row 24 requested cup tea never appear thank goodness airport purchase water tiny offering pretzel officious senior flight attendant facilitate club europe appear economy immediately slam arrest whilst still mid flight make already uncomfortable journey feel worse cattle class definitely say happy land disembark understatement never never,Economy Class,1,1,1,1,0,1,3
2,patrick not,catch patrick cancellation frisco point smooth check unable online part group travel security flight cancel denied entry security departures result point discover patrick not masquerade unable help provide little assistance unless real provide information even though baggage aside clue could get back however thanks supervisor business class check come assistance help predicament baggage retrieve information claim revise flight follow even difficult give rating cabin service even board aircraft,Economy Class,3,3,1,1,0,3,3
1,board flight take hour,real problem board flight get first fill luggage bind 2 bag one suppose small seat cabin staff dont bother implementing rule subsequent passenger mill aisle bump search space board flight take hour result nonsense oncoming flight late already 90 minute flight 90 minute late,Economy Class,3,1,1,1,0,1,3
1,luggage soak wet,connect flight london glasgow cancel force wait 12 hour airport new flight receive luggage glasgow discover luggage soak wet wife luggage content wet air dry,Economy Class,3,3,1,3,0,1,4
1,bad airline ever fly,bad airline ever fly allocate back row next toilet galley no chance get sleep question ask possible seat movement ignore get bump entire time cabin crew walk push part aisle without one apology would better sit luggage compartment,Economy Class,1,1,1,1,0,2,1
1,always absolutely shock,book special holiday partner september arrive way lovely south france book business class u start holiday right check tell flight book seat print onto ticket reason already make sure seat book booked flight nearly year prior go unfortunately arrive gate tell would no longer sit together one u would fact go economy girlfriend extremely nervous ulcer take extra tablet remain calm food pre book also sat right bottom end flight hold gate another 4 5 couple predicament due lovely money graft always book flight end refuse passenger end even people sit fold chair toilet area eventually arrive france late wait luggage come airtags state case fact still heathrow wait 4 day eventually come france point holiday ruin always absolutely shock speak anyone phone number no longer use felt strange foreign country no clothe no one help use next every day watch case not move crack air tag frustration not able plan day hope would get call drive way back air port 2 hour way collect case end go buy new clothes toiletry stuff make best ruin holiday save receipt think would able claim back wrong always take zero responsibility go insurance always pay basic essential part toothpaste file complaint get back request money back business class even decency even respond absolute joke company wish would remove name nothing not give money even look staff let alone customer oh dont bother try cancel flight either take money give nothing back,Business Class,1,1,1,1,0,1,1
2,service mediocre best,return chicago fly 10 day ago american airline absolutely superb every way high expectation return flight disappointmentthe virus a380 may nice pilot perspective passenger awfulvery uncomfortable seat flight entertainment flight trace fail work throughout flight flight meal incredible service mediocre best short flight heathrow manchester much improve welcome attentive flight staff flight even arrive early future travel one american carrier,Economy Class,2,3,2,2,0,1,3
2,standard continue decline,standard continue decline every time fly time 45 min late departure seem norm no information rude careless board gate staff club lounge overcrowd dirty ruby clean staff could not cope many cutback go apply become truly low cost 35 year veteran user people complain flex cruz cutting cost past 3 year see decline quickly late co one read occasional article improve thing yet see anything substantive seem staff leave amongst cabin crew maybe time name change give flag carrier status proper low sadly staff service decline year year board watering remain poor surprised domo produce rubbish meal sample turkish airline equivalent august superb guess tight budget board wife service joke avoid,Business Class,2,1,1,1,0,2,3
2,race bottom,awful business class check queue long economy probably half desk not stuff terminal 5 chronic business lounge overall get seat delay flight manage chaos gate no drink board first drink serve hour takeoff meal poor use get good economy airline always race bottom cheapskate stake not look forward flight home,Business Class,2,3,1,1,0,2,3
3,not reliable airline,not reliable airline not trust time 645am flight boarding time sit plane already 15 hour expect departure still not clear discover engine not work risk late business meeting geneva come bring not work plane gate funny thing another business trip spring 2023 also amsterdam arrive airport time tell dont seat put next flight several hour get business meeting late still not much lot stress end second plane sit cabin 15 hour miss meet think dramatic unlucky case time today see routine not fly time,Economy Class,4,4,1,1,0,2,3
1,national disgrace,take comfort read last ten review see not traveller put word absolutely abysmal always reason stick use awful airline use point book club europe month ago london athens sit row 3 tell run food option choice pie green carry return athens london club europe check online promise arrive airport early tell overlooked flight basically bump economy airline fail deliver time time national disgrace implore everyone choose alternative,Business Class,1,1,1,1,0,1,1
3,bad journey life,bad journey life connection time 1 hour flight map delay rush change terminal train arrive risk heart attack plane stay another 40 minute despite upon arrival sac baggage lose filled form give employee not give receipt not reference number phone number sac simply never answer call twice toll free number realize not record delivery address enter online deal thirty webster deliver baggage three day later claim compensation online buy clothes stuff never get receipt expect upgrade flight back map nothing happen neither allow enter lounge sac bad customer service positive side price obviously not justify treatment knew would never fly never,Economy Class,3,3,1,1,0,2,4
4,disappointed,airplane lounge worn old break dallas heathrow multiple first class seat electronics non functional poorly design first class seating heathrow dubrovnik nothing tray block middle seat standard coach ticket disappoint,First Class,1,4,3,2,0,4,3
1,service shock bad,one bad experience worst airline flight delayed due earlier technical issue time slip 1700 2000 2200 finally cancel zero information give despite pay well odds business class boot lounge two hour flight finally cancel staff without explanation tell everyone go gate another hour make u enter via passport control 40 minute wait airport close no sign bag help pass patrick engineer finally help u locate bag completely wash hand u contravention rule refuse find u accommodation many sleep bus stop overnight people young child find somewhere stay yet close left follow day replacement flight also late due admit mistake no watering liquid 2 12 flight overall service shock bad worst experienced airline not ever use,Business Class,2,1,1,1,0,1,3
1,never fly,cancel flight lastminute move u onto flight 2 day later operate japan airline pay lot extra extra bedroom seat tall assign middle seat deep middle plane operate different airline book neither airline could change seat phone despite seat available 4 hour wait queue sit hold solution arrive early airport seat already give away free people book directly airline could check online get 10 meal voucher compensation enormous downgrade 14 hour flight never fly would rather fly indirect good airline use disgrace airline,Economy Class,1,1,2,1,0,1,3
1,never fly awful airline,flight mimi florida dublin ireland via london heathrow airport outbound flight mimi delay delay gate occupy arrive heathrow total delay roughly hour enough make connection challenge 73 minute original arrival time departure time dublin head connection flight stop security personnel checkpoint tell u gate connection flight already close twenty minute prior departure time usher u customer service revoke give busy weekend travel revoke flight different airport tell cost get would reimburse wait 3 hour luggage take cab london city airport cab fare roughly 500 file claim always refuse claim tell plenty time make connect flight therefore deny claim reimburse cab fare explain always employee usher u ebook flight despite 20 minute timeframe make connect flight person revoke u tell u policy close gate 20 minute prior departure never fly awful airline give feedback site appear overwhelming sentiment,Business Class,1,3,1,1,0,2,1
1,ill never fly,start day prague flight actually leave time come find unusual purchased business class seat see picture hardly business class block middle seat first row call business class horrible flight addition really rude rude check clerk basically yell excuse ask could give little bit priority many business class passenger serve get heathrow real fun begin 4 hour delay give u 5 different excuse delay employee walk away ask question rude one point no employee leave announcement seem virtually every flight delay no weather issue no place comfortably store item business class give never experience not even cup holder bottle water seat control work well keep push button get anything power outlet work no internet entire flight overhead luggage bin heavy almost get hernia close horrible airline ill never fly could give zero star would,Business Class,1,3,1,1,0,3,3
1,bad bad,fly always weekly not want route no option therefore frankly dont care customer flight always delay always someone else fault weather delay oncoming aircraft flight traffic control issue give hear life not understand allow operate give around world travel world airline always really bad bad shame watch use good company fall cliff advice option fly anyone else exercise option fly different connection tight schedule not expect get destination time,Economy Class,1,1,1,1,0,1,1
1,everyone refuse help u,everything ok connect flight london take runaway pilot come announce engine problem engineer try fix wait plane hour finally tell would evacuate revoke another flight not worry special crew wait u ground help u set u hotel except no one help u fact everyone refuse help u saturday almost pm want go home anyone connect flight ebook application pp disassociate first flight connect one london staff saw still refuse help u give u phone number message say use pp finally get someone phone revoke u next day 1030pm find hotel room airline refuse also help u 2 choice either sleep airport pay 700gbp room dont money pay 10 hour flight 8 hour jet law insane stress fact no one always would help u take room course claim reimbursement 3 week ago hear anything since no idea much ill reimburse even though not claim emotional compensation horrible situation put due total indifference financially difficult right money put equal half salary course impossible reach phone feel still august 26 2023 completely wrap indifference no solution information,Economy Class,3,2,1,3,0,3,3
1,not single feedback always,initial flight cancel 8 hour prior flight automatically reschedule next day next day flight delay leave hamburg miss connect flight la begin several passenger spend night london always provide u voucher transfer bus drop u wrong hotel close hotel tell u walk want result lose two night hotel reservation make la begin opened claim provide receipt always get refund hotel reservation 5 week not single feedback always avoid flight future share story,Premium Economy,2,2,1,1,0,2,3
1,never fly always,never fly always flight july 15 2023 lax cancel 20 hour departure without explanation since 8 week wait refund not pay u cost cause cancellation disappoint,Economy Class,3,3,3,1,0,3,3
1,bad airline,always confirm bad airline last minute cancellation no explanation refusal book another airline dont arrangement happen used national airline,Economy Class,3,3,3,1,0,3,3
2,bad experience,bad experience suppose fly italy 7 september 2023 arrive tambov international airport ready check bag already check online previous even board pas ready counter tell offloaded flight connect flight cancel no information send regard beforehand team check counter try get another flight even no flight available manage get another flight follow even lufthansa italy via frankfort however miss first part trip arrive day half later suppose upon move flight ask staff whether flight back still valid everything order assure correct fly back south africa 18 september upon check book information notice account first flight milan london miss book connect london johannesburg still spend entire morning customer help two different operator pick instance moment proceed give booking reference number call get drop currently seem like arrive airport monday without flight,Economy Class,3,3,3,2,0,3,3
1,bad airline service,daughter deny board business class flight madrid heathrow march 25 2023 first leg return flight victoria canada no reason give deny board check staff always counter madrid say agent tell u call always three hour early flight valid passport many try finally reach always phone tell call expedite book flight expedite confirm bumped flight no explanation expedite begin long process find alternative flight next 24 hour numerous call expedite always incredibly next available flight 9 day later april 3 almost unbelievable many many try best could even though business class ticket part problem apparently rule not allow change routine segment flight nine day delay major problem u miss work daughter miss school receive no compensation always no penalty fee not reimbursement expense stay nine extra day return begin always online complaint process submit support document receive email reply case reference number nothing send numerous follow email receive no reply month later still not hear always shock definitely bad airline service receive thousand flight many decade patient person first time comment type forum think public make aware extremely poor customer service always,Business Class,3,3,1,1,0,3,3
1,national disgrace,flight cancel no crew th september 2023 not peak holiday period bad management sent gate leave stand hour flight cancel day continue provide poor service national disgrace,Business Class,3,3,1,1,0,3,3
1,bad service ever,bad service ever baggage not arrive time flight delay never fly even food bad service,Economy Class,3,1,3,3,0,1,1
1,not recommend,44 flight book holiday delay 12 hour no wife available 2 4 flight food drink basic expensive not recommend,Economy Class,1,3,1,1,0,1,1
1,bad low cost carrier,always total lack respect customer book fly frankfort main london city airport couple hour schedule departure flight suddenly cancel without explanation already airport bad thing utter callousness staff show towards customer ground staff attitude merely third party agent not employee therefore quickly wash hand u tell u contact directly via phone want help even provide u phone number tell u look bacon abandoned passenger tell u departure heathrow also cancel mean would no flight frankfort london day although airline still operate route refuse ebook u reason give cancellation technical reason no assistance information provide right due cancellation information help regard food accommodation help etc attitude literally cancellation nothing problem not receive email hour later notify automatically revoke alternative flight 24 hour later want acceptable get back london night rang call centre show high degree callousness 95 balfour call spend wait hold phone cut half hour no meaningful information give point no attempt call operator call back line cut solid phone signal wife still stand terminal 2 frankfort main airport even though phone number list book contact detail dont care end arrange return london take coach hand airport 112km away wait 5 hour book expensive last minute ticket ryanair start least flight operate time get back london worse low cost carrier,Economy Class,1,3,1,1,0,3,3
2,lie mislead professional service,care support shock write previously loyal traveller lie mislead professional service tell flight cancel book next available flight downgrade cabin business premium economy call ask tell technical fault original flight suspicion another reason airport check staff say not enough crew staff original flight earlier day take money allow book flight would allow get work doctor first place trust organisation look fly customer,Premium Economy,2,4,4,1,0,3,3
1,avoid like plague,fly a380 business class pleasure make disaster bad seat configuration imaginable could sane person could jam many seat limit space expect passenger happy seat narrow economy airline must face another person plastic screen raise screen size medium size tablet control behind head sit position no put anything except one small pull draw ground level not reach seat accessed sleeping window seat middle seat access jump passenger aisle seat seat low hard elderly get whole business class set sick joke eat difficult seat not close enough table table fly drink fall redeeming feature answer no like little comfort avoid like plague,Business Class,1,1,3,1,0,2,1
1,always absolutely not care,always absolutely not care reserved seat change aisle center seat overnight full flight quite awful inquire lax check agent say sorry nothing board flight attendant seem try finish meal service race speed meal ray pass no proper question choice back clear ray disappear rest kitchen hour no water run need anything not bother call bell simply ignore use like travel always 1015 year ago bean counter lower close low carrier guess staff badly pay terrible attitude service last trip london felt much good poor excuse airline air become,Economy Class,1,1,1,1,0,1,1
1,utter indication responsibility,recent experience always not horrendous utter indication responsibility part arrive ready flight balaga find canceled zero notice drain hour altercation finally place different flight nightmare continue landed balaga sans luggage contain essential son wed thirty agonizing hour later bag show branded pad special watch nephew miss item merely valuable emotional significance make loss even gutwrenching think reputable airline would make amends error despite clear mishandling baggage team refuse offer reimbursement even modest amount airline credit customer service not ineffective also astonish callous response essence fault trust u belonging poor customer service complete disregard basic human decency responsibility always numerous opportunity right wrong choose not respect time belonging emotional well avoid always cost not fail deliver promise also refuse make amends err leave customer bear brunt incompetence,Economy Class,1,3,1,1,0,3,3
1,express displeasure concern,express displeasure concern regard flight italy trip effectively ruin failure luggage arrive u couple length time take eventually reach u 9 12 day departure date june 19 2023 flight 294 chicago london june 20 revoke 546 london rome flight late arrival rome wife force walk checking desk reservation wheelchair assist plane never transfer told cabin crew no reservation transport also check baggage 2 fail make revoked flight london rome take 9 day deliver bag 12 day deliver wife call baggage claim service daily frequently cut wait hold hour apple air tag bag sent picture show exact location baggage claim several time 5 day state found wife bag need verify ownership bag describe bright pink 4 easily visible tag bright pink bow take 9 12 day deliver excusable return date july 3 553 rome london 297 london chicago flight late arrive chicago 3 hour late miss ground transportation home michigan 3 hour away find hotel stay overnight near chicago july 12 file expense replacement lose clothing toiletry also food purchase heathrow due flight delay overnight hotel charge chicago 2 week go online ask follow case no response retire fix income not fund error honestly say time able reach human courteous attempt help appear loss,Premium Economy,3,1,1,1,0,1,1
1,bad europe,flew london balaga 27 august club europe stand around gate terminal 5 hour staff give different reason delay late bound aircraft etc plane board sit hour board captain state change plane would no meal serve club europe receive one small packet crisis throughout flight no effort apologise smelt hot meal pilot heat saw serve club europe meal tray cabin crew also warm party quick use air freshen front galley customer receive rich send email follow morning say sorry nothing else complete utter rip airline already cut back many thing pay full business class fare not receive part board meal service expect email sufficient avoid option nowadays bad europe,Business Class,1,1,1,1,0,1,1
1,customer service horrible,arrive airport 25 hour takeoff time get check go security etc go without issue relatively early gate one first passenger time board open first business class get call family child disabled people couple minute board start call people one one name announcement wont let anyone anymore fifty people still stand gate not let reason say plane short stuffed later discover speaking manager not flight short stuffed also overlook announcement people get angry let anymore nothing change everyone send away connect flight later day go miss not let plane first try get luggage back receive immediately get hold later thanks airport personnel like everyone go fly plane want talk someone always since dont service center frankfort airport everyone go check counter receive food voucher not single person either able ebook anyone flight get anyone refused staff say go receive email couple hour option ebook flight get refund wait four hour email airport not come today try call airline not help either not answer phone hung middle conversation four hour wait email people flight go back check counter get confirmation receive refund new shift personal not know happen scanned passport look flight found system die fault could not attend flight looked like miss everyone stand exactly people counter say could not anything later able speak manager many phone call say go take care suppose get email point future not able get write confirmation get refuse even several time ask already fly lot time life never ever thing happen not many people not let plane also customer service horrible not able ebook confirm refund way end option get destination would book last minute flight lot money would not know ever get backed,Economy Class,1,1,1,1,0,3,3
1,appal customer service,filthy plane cabin staff ok appal customer service staff care less deal complaint pay extra club europebusiness class food poor give wipe clean seat area split could accommodate family not really expect pay extra service conceal book even mean lose deposit,Business Class,1,3,1,1,0,1,3
3,standard bad ever,chaos terminal 5 cancellation delay staff give different reason depend ask 9 10 answer lie sadly airport standard bad ever long past able use could excuse short haul club europe trip expect little barely even provide cutback could permanent find alternative carrier route choose rather sadly route monopoly,Business Class,2,2,1,2,0,2,3
1,still wait reimbursement,cancel flight could not book u onto flight next 4 day spend k expense get u back another airline 2 month later still wait reimbursement no response 3 write complaint even call centre staff tell head office take telephone number email department deal even not escapade inquire utterly useless,Economy Class,3,3,3,1,0,3,3
1,professional nearing,way heathrow airport merely 2 half hour schedule departure receive sum state flight johannesburg cancel no reason give put flight one day later no choice offer already airport proceed check ask cause cancellation apparently pilot sick nobody available stand could business class check desk assistant sympathetic tell u could not check bag follow day find someone else tell u could check 24 prior departure wait airport 2 hour check go back home not offer refund tell claim extra expense incur train change fee connect flight zimbabwe loss one night stay expensive salary lodge etc not offer anything sooty professional nearing disorganise lack service avoid always find good cheap option,Business Class,3,2,2,1,0,3,3
1,horrible experience,8 month pass still waste time team share document flight delhi london get delay december 2022 miss connect flight london heathrow vancouver put u flight 24 hour reach vancouver tell baggage lose horrible experience customer relation person not even look detail already share december january april july,Economy Class,1,1,1,1,0,3,3
1,never,june flight cancel within three hour departure give rebuke next day lose suitcase arrive three day later today august 2023 happen offer rebuke two day try post claim webster work never,Economy Class,3,3,3,1,0,3,3
2,ask u check bag,flight delay hour happen no big u change gate airport never happen guess ok gate agent ask u check bag tell would prefer not anyway second gate agent reassign seat exit row regular huge squeeze 63 travel bud,Economy Class,1,1,1,1,0,3,3
2,service extremely poor,staff rude not train properly no exception make child elderly people price ticket expensive give distance service extremely extremely poor,Economy Class,1,1,1,1,0,1,1
1,staff quite unpleasant,fail basic travel fundamental 1 flight delay 2 staff demand check carry luggage even though meet carry allowance fact tight bus connection totally ignore 3 staff quite unpleasant,Economy Class,3,3,1,2,0,3,3
1,lose baggage,lose baggage simple situation three week dont care no communication whatsoever connection checkpoint heathrow connect flight last leg trip agent insist check hand luggage since plane full lose claim arrival airport immediately three week no communication whatsoever online status still search bag no updated conclusion males no effort find missing bag dont care,Economy Class,3,5,1,1,0,4,5
1,leave two hour late,late boarding lead one hour flight leave two hour late single staff member turn board full flight shortly flight due depart no previous announcement delay board captain blame frankfort ground staff delay takeoff clearly late boarding result missed departure slot,Economy Class,3,3,1,1,0,1,3
1,flight delayed,usual flight delay try blame someone inability incapacity deliver sell dont hire enough personnel fulfil staff demand,Economy Class,3,3,1,1,0,3,3
1,bump due overselling,book online arrive check find bump due overselling no staff available helpful patrick staff get u bus flight toulouse knock effect car book share rest family able board original flight airline legally stop sell seat twice,Economy Class,3,3,1,1,0,1,3
1,really go downhill,terrible experience always book flight travel gibraltar london heathrow may 10 2023 flight schedule leave 400 pm afternoon originally plan leave luggage heathrow upon arrival travel visit overnight cousin place en route rib airport hour prior departure check flight detail find flight cancel connect flight book westjet london heathrow vancouver follow day make flight imperative get london checked webster find flight would work unfortunately make mistake request refund manage find flight balaga get london 1000 pm book call always want discuss compensation advise request refund use phrase abandon travel not prepared anything apparently call first would make arrangement course dont explain webster ask want refund proceed even plead case agent balaga airport follow customer relation several time via email flat refuse budge use travel voucher cover cost flight use avoid cover cost checked baggage word no pocket cost trip incident happen end spending 660 europe warfare check baggage charge get london balaga different airport one originally book luggage storage facility heathrow close time eventually arrive end book night hotel since travel train cousin place longer 3 bag tow want put drive airport pick cost another 125 room meal cost end compensate give 500 free avoid mere pittance compare pocket expense despite try explain request refund instead call first budge easy say do since work know rule one crumble find alternative travel arrangement within hour point webster simply instruct customer call situation happen way would never encounter problem feeling put refund option hope customer make mistake wash hand situation ultimately save money give executive club member year simply care say nothing could sure one executive friends family member go staff would give instruction make thing right use fan really go downhill opinion use remain avoid travel credit cancel executive club membership never fly,Economy Class,1,1,1,1,0,3,3
1,life past glory,airline life past glory head future crisis always not joke family 7 business class head norwegian arctic cruise lose 10 bag never see flight ever disaster airline,Business Class,1,1,1,1,0,3,3
