OverallRating,ReviewHeader,ReviewBody,SeatType,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Food&Beverages,InflightEntertainment,review_topics
4,inflight service usually weak,I using BA average I not say I pretty satisfied BA somehow experience cancellation delay time Second inflight service usually weak Food portion small cabin crew not helpful especially come drink request The screen A380s renewed full scratch size A321s Especially longer flight entertainment system becomes important There also no welcome package except pillow small blanket I would expect BA If flying US anywhere except UK I would recommend considering airline But flying tofrom UK directly BA could one choice,Economy Class,3,2,2,3,0,2,3,"['Overpriced & Poor Value for Money', 'Food and Beverage', 'Airline Staff & Ground Services']"
1,BA customer service disgrace,I flew Istanbul London Business class For half flight child watching iPad loud no phone plugged three row front disrupted flight I could hear headphone Staff thought fine refused tell mom turn Why acceptable flight especially business class Has airline turned zoo Are staff given no training customer service Why child allowed disrupt passenger When I told staff laughed BA customer service disgrace Ive not even mentioned food bad really bad,Business Class,2,1,2,1,0,1,1,"['Overpriced & Poor Value for Money', 'Baggage Problems', 'Seating Comfort']"
1,little concern customer service,I flow BA several time since airline started nonstop service Austin TX London Heathrow Every year service get worse I brought tape measure see far apart seat economy section 25 inch BA removed bathroom order squeeze row seat onto aircraft Thankfully Im not big person able squeeze seat without uncomfortable When BA first started flying Austin food great Now I arrive Heathrow I get real food take plane I dont know make BAs food not eatable If BA not direct flight hometown London I would fly different airline When checked Heathrow line extremely long one person checking people It took nearly hour get counter I understand airline making record profit need make lost revenue pandemic I think BA gone far little concern customer service pursuit profit,Economy Class,1,1,1,1,0,1,5,"['Overpriced & Poor Value for Money', 'Baggage Problems', 'Seating Comfort']"
1,gave fullservice airline,The flight departed hour late due late inbound plane The plane full half economy class passenger forced check larger cabin baggage gate boarding making complete mockery hand luggage allowance advertised Lots passenger board stressed missing onwards connection due delay miss next gate closed time disembarked Heathrow Onboard service ok minimal BA gave fullservice airline time ago More concerning trying get hold customer service make change booking deal problem nonexistent The airline seems make deliberately hard customer contact,Economy Class,1,2,1,2,0,1,3,"['Flight Delays & Cancellations', 'Refund & Compensation Disputes', 'Baggage Problems', 'Food and Beverage']"
1,I hate British Airways,I hate British Airways We get London Oct 3 next flight cancelled We stand line 1200 people get fixed tell everyone leave airport call fix They book u next dayvia online Dont offer voucher hotel miss tour Now trying get home Istanbul Plane started loading hour ago No explanation May miss next flight Will never travel Was problem April 2022 flight,Economy Class,1,3,1,1,0,3,4,"['Refund & Compensation Disputes', 'Flight Delays & Cancellations']"
5,2 hour bag finally arrived,Our BA flight Porto London Heathrow T5 operated Finnair using Finnair plane crew This advised BA shortly booking option change flight preferred Although business class cabin similar layout BA Club Europe ie middle seat kept free wife I felt seat comfortable legroom slightly better Service good board meal tasty chose beef cheek All good landed Heathrow Although passed passport control without delay designated baggage reclaim waited waited After hour ten minute I went BA baggage counter ask going They seemed unaware issue said would find Over next hour various passenger also requested information despite various announcement list different excuse almost 2 hour bag finally arrived Frustrating say least I subsequently complained BA 4 week no explanation automated message customer service experiencing exceptionally high volume This response say lot,Business Class,4,5,1,4,0,4,3,"['Baggage Problems', 'Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Food and Beverage', 'Flight Delays & Cancellations']"
3,left nobody care,The customer service call centre etc atrocious sometimes callous They dont care Long wait speak anybody no power actually solve anything call cut halfway without resolution anyway If flight cancelled original one youre really left nobody care The onboard service soso short haul semilow cost confusing never know expect This time given bottle water small snack whilst anything else paid And yet flight apparently preorder additional food Its confusing make not dependable Cabin baggage theory generous compared competitor economy asked half passenger flight check cabin baggage gate due lack space overhead cabin leading long boarding delay Their whole offering hasnt thought well The USB power supply not work throughout flight contrary announcement power available seatbelt sight turned pointless providing socket first place Not first choice airline route trying use Avios point I totally abandon I fail see deemed 4 star airline,Economy Class,2,4,1,4,0,1,3,"['Food and Beverage', 'Refund & Compensation Disputes', 'Flight Delays & Cancellations']"
5,Club Europe simply joke,I frequent flyer BA last 15 year Having noted rating given frankly I not understand BA score three star aspect service In nutshell BA placed profit margin passenger appreciation This fact hammered home return leg not Club Europe Quite alarmingly BA appears place profit passenger safety extending Business Class seating beyond emergency exit row failing ensure seated exit row physical capacity actually open door incase emergency I not reassured see elderly slightly built woman seated responsibility opening overwing exit need arisen Shorthaul business Club Europe simply joke useful gaining valuable tier point loungepreboarding benefit While cabin crew service excellent lack space reduction refreshment choice etc place million airmiles behind competing airline Qatar Turkish Emirates understand true definition customer appreciation hospitality BA consistently eroded value Executive Club seems impression recent change obtaining avios point booking process benefit passenger really I want support BA enjoy flying point started penny pinching became deserving name Budget Airways The attached photo taking recent itinerary highlight difference customer careappreciation British Airways another airline used trip Both flight around 4 hour duration day Guess one show BAs inflight offering,Business Class,3,4,3,2,0,1,1,"['Overpriced & Poor Value for Money', 'Food and Beverage']"
4,Very second rate shoddy airline,Flew BA Punta Cana Took trouble reserve seat outbound inbound flight On boarding Gatwick realised moved much less good seat people sitting seat spent lot money reserving Apparently change aircraft number passenger automatically reallocated seat no particular reason The crew said nothing could although course could swapped u couple using seat We told claim refund return home We via complaint form Ns BA offered u 100 voucher We didnt accept less cost seat also naturally wanted money back We eventually got not without fight Very second rate shoddy airline,Economy Class,3,3,2,2,0,3,2,"['Overpriced & Poor Value for Money', 'Refund & Compensation Disputes', 'Seating Comfort']"
1,sort medieval torture,They downgraded business premium economy They took three month get back offered 200 pound 400 AUD The difference business class premium economy I never fly 3000 AUD difference economy business 6500 AUD They owe least 1500 pound fair 3250 pound The downgrade insulting incredibly painful I recent cancer operation back injury I pointed I need lie The wait get around numbing The insult offer slap face continue degradation The people I dealt airport earth honest hard working people The actual staff plane warm friendly helpful The system BA operates sort medieval torture,Business Class,1,5,5,1,0,3,3,['Overpriced & Poor Value for Money']
1,Never BA,The already delayed aircraft landed apart small BA logo rear fuselage no indication carrier really Boarding turned farce passenger group told wait one queue order board informed wrong place boarding wasnt allowed yet The interior cabin reminiscent BA cabin twenty year earlier except tight legroom uncomfortable seating made budget airline feel luxurious The crew not BA unknown charter company Service slow usual choice food purchase ran theyd reached row 24 I requested cup tea never appeared Thank goodness airport purchased water tiny offering pretzel The officious senior flight attendant whod facilitating Club Europe appeared economy immediately slammed armrest whilst still mid flight making already uncomfortable journey feel worse Cattle class definitely To say I happy land disembark understatement Never BA never,Economy Class,1,1,1,1,0,1,3,"['Overpriced & Poor Value for Money', 'Food and Beverage', 'Baggage Problems']"
2,BA Gatwick not BA,Caught Gatwick cancellation fiasco point smooth check unable online part group travel security flight cancelled denied entry security departure result It point discovered BA Gatwick not BA masquerade unable help provide little assistance unless real BA provide information even though baggage airside didnt clue could get back It however thanks supervisor Business Class check came assistance help predicament baggage retrieval information claim revised BA flight LHR following evening Difficult give rating cabin service didnt even board aircraft,Economy Class,3,3,1,1,0,3,3,['Airline Staff & Ground Services']
1,Boarding flight took hour,BA real problem boarding flight Those get first fill luggage bin 2 bag one supposed small seat Cabin staff dont bother implementing rule Subsequent passenger mill aisle bumping searching space Boarding flight took hour result nonsense The incoming flight late already 90 minute flight 90 minute late,Economy Class,3,1,1,1,0,1,3,"['Flight Delays & Cancellations', 'Seating Comfort', 'Food and Beverage']"
1,luggage soaking wet,Our connecting flight London Glasgow canceled forced wait 12 hour airport new flight When received luggage Glasgow discovered luggage soaking wet My wife luggage content wet air dried,Economy Class,3,3,1,3,0,1,4,['Baggage Problems']
1,The worst airline I ever flown,The worst airline I ever flown Allocated back row next toilet galley No chance getting sleep question asked possible seat movement ignored getting bumped entire time cabin crew walking pushing kart aisle without one apology Would better sitting luggage compartment,Economy Class,1,1,1,1,0,2,1,"['Baggage Problems', 'Seating Comfort']"
1,British Airways absolutely shocking,Booked special holiday partner September arrived way lovely South France Booked Business Class u start holiday right As checking I told flight booked seat wouldnt print onto ticket reason We already made sure seat booked booked flight nearly year prior going Unfortunately arrived gate told would no longer sat together one u would fact go economy My girlfriend extremely nervous flyer take extra tablet remain calm She didnt food pre booked also sat right bottom end flight We held gate another 4 5 couple predicament due lovely money grabbing British Airways booking flight They ended refusing passenger end even people sat fold chair toilet area When eventually arrived France late waiting luggage come Our airtags stated case fact still Heathrow We wait 4 day eventually come France point holiday ruined British Airways absolutely shocking couldnt speak anyone phone number no longer use We felt stranded foreign country no clothes no one help use next Every day watched case not moved tracking air tag frustrating not able plan day hope would get call drive way back air port 2 hour way collect case ended going buying new clothes toiletry stuff make best ruined holiday saving receipt thinking would able claim back wrong I British airway take zero responsibility fob going insurance British Airways pay basic essential Pants toothpaste I filed complaint I got back requested money back business class havent even decency even respond They absolute joke company I wish would remove British name nothing British Do not give money cant even look staff let alone customer Oh dont bother trying cancel flight either take money give nothing back,Business Class,1,1,1,1,0,1,1,"['Overpriced & Poor Value for Money', 'Refund & Compensation Disputes', 'Baggage Problems']"
2,service mediocre best,Just returned Chicago flew 10 day ago American Airlines absolutely superb every way high expectation return flight BAWhat disappointmentThe Airbus A380 may nice pilot perspective passenger awfulVery uncomfortable seat inflight entertainment flight tracker failed work throughout flight inflight meal inedible service mediocre best Our short flight Heathrow Manchester much improved welcoming attentive flight staff flight even arrived early In future travel one American carrier,Economy Class,2,3,2,2,0,1,3,"['Food and Beverage', 'Baggage Problems']"
2,BA standard continue decline,BA standard continue decline every time I fly This time 45 min late departure seems norm BA no information rude clueless boarding gate staff The Club lounge overcrowded dirty grubby cleaning staff could not cope How many cutback BA going apply become truly low cost As 35 year veteran user BA people complained Alex Cruz cutting cost past 3 year seen decline quickly latest CEO One read occasional article BA improving thing I yet see anything substantive There seem British staff left amongst cabin crew maybe time name change give flag carrier status proper lowcost sadly staff service declined year year Onboard catering remains poor surprised DoCo produce rubbish meal I sampled Turkish Airlines equivalent August superb guessing BA tight budget Onboard WiFi service joke avoided,Business Class,2,1,1,1,0,2,3,"['Food and Beverage', 'Baggage Problems']"
2,race bottom,Awful Business class check queue long economy probably half desk not staffed Terminal 5 chaotic Business lounge overfull couldnt get seat Delayed flight unmanaged chaos gate No drink boarding first drink served hour takeoff The meal poor used get better economy airline British Airways race bottom cheapskate stake Not looking forward flight home,Business Class,2,3,1,1,0,2,3,"['Overpriced & Poor Value for Money', 'Food and Beverage']"
3,Not reliable airline,Not reliable airline You not trust timing I 645am flight boarding time sitting plane already 15 hour expected departure still not clear They discovered engine not working I risking late business meeting Geneva How come bring not working plane gate The funny thing I another business trip spring 2023 also BA Amsterdam When I arrived Airport time I told I dont seat I put next flight several hour get business meeting late still not much A lot stress In end second plane sitting cabin 15 hour I missed meeting I thought dramatic unlucky case time today I see routine BA not fly time,Economy Class,4,4,1,1,0,2,3,"['Overpriced & Poor Value for Money', 'Flight Delays & Cancellations']"
1,It national disgrace,I take comfort reading last ten review see Im not traveller put word absolutely abysmal British Airways The reason stuck using awful airline use point We booked Club Europe month ago London Athens sat row 3 told run food option choice lentil pie green curry Returning Athens London Club Europe Couldnt check online promised arrived airport 3hrs early To told overbooked flight basically bumped economy This airline fails deliver time time It national disgrace I implore everyone choose alternative,Business Class,1,1,1,1,0,1,1,"['Overpriced & Poor Value for Money', 'Food and Beverage', 'Refund & Compensation Disputes', 'Seating Comfort']"
3,The worst journey life,The worst journey life The connection time LHR 1 hour flight MXP delay I rush change terminal train arrived risking heart attack After plane stayed another 40 minute Despite upon arrival SJC baggage lost I filled form gave employee I not given receipt I not reference number BA phone number SJC simply never answer I called twice toll free number realized not record delivery address I enter online dealing shitty website They delivered baggage three day later I claimed compensation online I buy clothes stuff I never get receipt I expecting upgrade flight back MXP nothing happened neither allowed enter BA lounge SJC Bad customer service The positive side price obviously not justify treatment I knew I would never flown BA Never,Economy Class,3,3,1,1,0,2,4,"['Overpriced & Poor Value for Money', 'Refund & Compensation Disputes', 'Baggage Problems', 'Flight Delays & Cancellations']"
4,Very disappointed,The airplane lounge worn old broken From Dallas Heathrow multiple first class seating electronics non functional poorly designed The first class seating Heathrow Dubrovnik nothing tray blocking middle seat standard coach ticket Very disappointed,First Class,1,4,3,2,0,4,3,"['Overpriced & Poor Value for Money', 'Food and Beverage']"
1,service shockingly bad,One worst experience worst airline The flight delayed due earlier technical issue The time slipped 1700 2000 2200 finally cancelled There zero information given Despite paying well odds business class booted BA lounge two hour flight When finally cancelled BA staff Without explanation told everyone go gate After another hour made u enter UK via passport control 40 minute wait By airport closing no sign bag help BA A passing Gatwick engineer finally helped u locate bag BA completely washed hand u contravention CAA rule refused find u accommodation Many slept bus stop overnight There people young child couldnt find somewhere stay yet BA closed left The following day replacement flight also late due admin mistake no catering liquid 2 12 hr flight Overall service shockingly bad worst I experienced airline I not ever use,Business Class,2,1,1,1,0,1,3,"['Baggage Problems', 'Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Food and Beverage', 'Flight Delays & Cancellations']"
1,Never I fly BA,Cancelled flight lastminute moved u onto flight 2 day later operated Japan Airlines We paid lot extra extra legroom seat I tall assigned middle seat deep middle plane Because operated different airline booked BA neither BA airline could change seat phone despite seat available After 4 hour waiting queue sitting hold solution arrive early airport I seat already given away free people booked directly airline could check online I got 10 meal voucher compensation enormous downgrade 14 hour flight Never I fly BA I would rather fly indirect better airline use disgrace airline,Economy Class,1,1,2,1,0,1,3,"['Overpriced & Poor Value for Money', 'Refund & Compensation Disputes', 'Food and Beverage', 'Seating Comfort']"
1,never fly awful airline,I flight Miami Florida Dublin Ireland via Londons Heathrow airport The outbound flight Miami delayed delayed gate occupied arrived Heathrow The total delay roughly hour enough make connection challenge 73 minute original arrival time departure time Dublin When headed connection flight stopped security personnel checkpoint told u gate connection flight already closed This twenty minute prior departure time They ushered u customer service rebooked Given busy weekend travel rebooked flight different airport told cost get would reimbursed We waited 3 hour luggage took cab Londons City Airport The cab fare roughly 500 When I filed claim British Airways refused claim told plenty time make connecting flight therefore denied claim reimbursed cab fare This I explained British Airways employee ushered u rebook flight despite 20 minute timeframe make connecting flight The person rebooked u told u policy close gate 20 minute prior departure I never fly awful airline Given feedback site appears overwhelming sentiment,Business Class,1,3,1,1,0,2,1,"['Airline Staff & Ground Services', 'Baggage Problems']"
1,Ill never fly,We started day BA Prague The flight actually left time I came find thats unusual We purchased business class seat As see picture hardly business class All block middle seat first row called business class Horrible flight In addition I really rude rude check clerk basically yell I excused asked could give little bit priority many business class passenger werent served Then got Heathrow real fun began We 4 hour delay They gave u 5 different excuse delay I employee walk away I asking question They rude At one point no employee left And announcement seems virtually every BA flight delayed And no weather issue There no place comfortably store item business class Ive never experienced Not even cup holder bottle water The seat control didnt work well You keep pushing button get anything The power outlet didnt work There no internet entire flight The overhead luggage bin heavy I almost got hernia close This horrible airline Ill never fly If I could give zero star I would,Business Class,1,3,1,1,0,3,3,"['Overpriced & Poor Value for Money', 'Food and Beverage', 'Airline Staff & Ground Services', 'Baggage Problems']"
1,worst worst,I fly British Airways weekly not I want route there no option therefore frankly dont care customer The flight always delayed always someone elses fault weather delay incoming aircraft flight traffic control issue Ive heard life not understand allowed operate Ive around world traveled world airline British Airways really worst worst Its shame watched used good company fall cliff My advice option fly anyone else exercise option youre flying different connection tight schedule not expect BA get destination time,Economy Class,1,1,1,1,0,1,1,"['Overpriced & Poor Value for Money', 'Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Food and Beverage']"
1,everyone refused help u,Everything ok connecting flight London take runway pilot came announce engine problem After engineer tried fix waited plane hour finally told would evacuated rebooked another flight not worry special crew waiting u ground help u set u hotel except no one help u In fact everyone refused help u It Saturday almost 8pm wanted go home Anyone connecting flight couldnt rebook application app wouldnt disassociate first flight connecting one London staff saw still refused help u They gave u phone number message said use app Finally I got someone phone rebooked u next day Now 1030pm I find hotel room airline refused also help u So 2 choice either sleep airport pay 700GBP room I dont money pay 10 hour flight 8 hour jet lag insane stress fact no one British Airways would help u I took room Of course I claimed reimbursement 3 week ago I havent heard anything since I no idea much Ill reimbursed even though Im not claiming emotional compensation horrible situation put due total indifference Its financially difficult right money I put equal half salary course impossible reach phone I feel still August 26 2023 completely trapped indifference no solution information,Economy Class,3,2,1,3,0,3,3,"['Overpriced & Poor Value for Money', 'Baggage Problems', 'Airline Staff & Ground Services', 'Refund & Compensation Disputes', 'Flight Delays & Cancellations']"
1,not single feedback British Airways,My initial flight cancelled 8 hour prior flight Then I automatically rescheduled next day Next day flight delayed leaving Hamburg missed connecting flight Las Vegas Me several passenger spent night London British Airways provided u voucher transfer bus dropped u wrong hotel closest hotel told u walk want As result I lost two night hotel reservation I made la Vegas I opened claim provided receipt British Airways get refund hotel reservation 5 week not single feedback British Airways I avoid flight future share story,Premium Economy,2,2,1,1,0,2,3,"['Refund & Compensation Disputes', 'Airline Staff & Ground Services', 'Seating Comfort']"
1,never fly British Airways,We never fly British Airways Our flight July 15 2023 LHR LAX cancelled 20 hour departure without explanation Since 8 week waiting refund BA not pay u cost caused cancellation Very disappointing,Economy Class,3,3,3,1,0,3,3,"['Refund & Compensation Disputes', 'Baggage Problems', 'Flight Delays & Cancellations']"
1,worst airline UK,British Airways confirmed worst airline UK Last minute cancellation no explanation refusal book another airline dont arrangement Whats happened used national airline,Economy Class,3,3,3,1,0,3,3,"['Refund & Compensation Disputes', 'Baggage Problems', 'Food and Beverage']"
2,Worst BA experience,Worst BA experience I supposed fly Italy 7 September 2023 I arrived OR Tambo International airport ready check bag I already checkedin online previous evening I boarding pas ready At counter I told I offloaded flight connecting flight cancelled No information sent regarding beforehand The team checkin counter tried get another flight evening no flight available They manage get another flight following evening Lufthansa Italy via Frankfurt However I miss first part trip arrived day half later I supposed Upon moving flight I ask BA staff whether flight back still valid everything order assured correct I fly back South Africa 18 September upon checking booking information I noticed BA account first flight Milan London missing booking My connecting London Johannesburg still After spending entire morning customer helpline two different operator picked instance moment I proceed give booking reference number call get dropped Currently seems like I arriving airport Monday without flight,Economy Class,3,3,3,2,0,3,3,"['Flight Delays & Cancellations', 'Refund & Compensation Disputes', 'Baggage Problems']"
1,worst airline service,My daughter I denied boarding business class flight Madrid Heathrow March 25 2023 first leg return flight Victoria Canada No reason given denied boarding check staff British Airways counter Madrid said agent told u call British Airways We three hour early flight valid passport After many try finally reached British Airways phone told call Expedia booked flight Expedia confirmed bumped flight no explanation Expedia began long process finding alternative flight Over next 24 hour numerous call Expedia British Airways Incredibly next available flight 9 day later April 3 This almost unbelievable many many try best could Even though Business Class ticket Part problem apparently rule not allow change routing segment flight This nine day delay major problem u I miss work daughter missing school Further received no compensation British Airways no penalty fee not reimbursement expense staying nine extra day After return I began British Airways online complaint process submitted supporting document I received email reply case reference number And nothing I sent numerous follow email received no reply It month later still I not heard British Airways This shocking definitely worst airline service I received thousand flight many decade I patient person first time I commented type forum I think public made aware extremely poor customer service British Airways,Business Class,3,3,1,1,0,3,3,"['Overpriced & Poor Value for Money', 'Refund & Compensation Disputes', 'Flight Delays & Cancellations']"
1,national disgrace,Flight cancelled no crew 9th September 2023 not peak holiday period bad management BA Sent gate left standing hour flight cancelled As day Why BA continue provide poor service national disgrace,Business Class,3,3,1,1,0,3,3,"['Overpriced & Poor Value for Money', 'Food and Beverage', 'Airline Staff & Ground Services']"
1,The worst service ever,The worst service ever baggage not arrive time Both flight delayed I never fly Even food bad service,Economy Class,3,1,3,3,0,1,1,"['Overpriced & Poor Value for Money', 'Food and Beverage', 'Baggage Problems']"
1,Can not recommend,44 flight booked holiday delayed 12 hour No wifi available 2 4 flight Food drink basic expensive Can not recommend,Economy Class,1,3,1,1,0,1,1,"['Overpriced & Poor Value for Money', 'Food and Beverage', 'Airline Staff & Ground Services']"
1,BA worse low cost carrier,British Airways total lack respect customer I booked fly Frankfurt Main London City Airport couple hour scheduled departure flight suddenly cancelled BA without explanation I already airport The worst thing utter callousness staff showed towards customer The ground staff attitude merely third party agent not BA employee therefore quickly washed hand u telling u contact BA directly via phone wanted help They couldnt even provide u phone number telling u look bacom So BA abandoned passenger They tell u BA departure Heathrow also cancelled meaning would no BA flight Frankfurt London day although airline still operating route BA refused rebook u The reason given cancellation technical reason No assistance information provided right due cancellation information help regarding food accommodation help etc Their attitude literally cancellation nothing problem not I received email hour later notifying I automatically rebooked alternative flight 24 hour later wasnt acceptable I get back London night I rang BAs call centre showed high degree callousness 95 halfhour call spent waiting hold phone cutting half hour no meaningful information given point There no attempt call operator call back line cut I solid phone signal wifi I still standing Terminal 2 Frankfurt Main airport even though phone number listed booking contact detail They dont care In end I arrange return London taking coach Hanh airport 112km away waiting 5 hour booking expensive last minute ticket Ryanair Stansted At least flight operated time got back London BA worse low cost carrier,Economy Class,1,3,1,1,0,3,3,"['Overpriced & Poor Value for Money', 'Refund & Compensation Disputes', 'Airline Staff & Ground Services']"
2,Lies misleading unprofessional service,Care support shocking Written previously loyal BA traveller Lies misleading unprofessional service Told flight cancelled Booked next available flight downgraded cabin business premium economy Called ask Told technical fault original flight My suspicion another reason At airport check staff said not enough crew staff original flight earlier day Why take money allow book flight would allowed get work doctor first place How trust organisation look flying customer,Premium Economy,2,4,4,1,0,3,3,"['Overpriced & Poor Value for Money', 'Refund & Compensation Disputes', 'Baggage Problems']"
1,avoid BA like plague,Flying A380 business class pleasure BA made disaster worst seating configuration imaginable How could sane person could jam many seat limited space expect passenger happy Seats narrower economy airline must face another person plastic screen raised The Tv screen size medium sized tablet control behind head sitting position There no put anything except one small pull draw ground level not reached seated accessed sleeping The window seat middle seat accessed jump passenger aisle seat seat low hard elderly get The whole business class set sick joke Eating difficult seat not close enough table table flimsy drink fall Are redeeming feature answer no If like little comfort avoid BA like plague,Business Class,1,1,3,1,0,2,1,"['Food and Beverage', 'Seating Comfort']"
